guru,issuer,value_kusd
Berkshire Hathaway,APPLE INC,57843260493
Berkshire Hathaway,AMERICAN EXPRESS CO,45859204536
Berkshire Hathaway,COCA COLA CO,30420000000
Berkshire Hathaway,BANK AMERICA CORP,25039178044
Berkshire Hathaway,CHEVRON CORPORATION,17457364606
Berkshire Hathaway,OCCIDENTAL PETE CORP,17221193015
Berkshire Hathaway,ALPHABET INC,16628526688
Berkshire Hathaway,CHUBB LTD SWITZ,11162836215
Berkshire Hathaway,MOODYS CORP,10762190653
Berkshire Hathaway,KRAFT HEINZ CO,7323527057
Berkshire Hathaway,DAVITA INC,4626158909
Berkshire Hathaway,KROGER CO,3618000000
Berkshire Hathaway,SIRIUSXM HOLDINGS INC,2880548260
Berkshire Hathaway,DELTA AIR LINES INC,2646532635
Berkshire Hathaway,VERISIGN INC,2232726597
Pershing Square,BROOKFIELD CORP,2415946008
Pershing Square,AMAZON COM INC,2385104083
Pershing Square,UBER TECHNOLOGIES INC,2154934398
Pershing Square,MICROSOFT CORP,2092970053
Pershing Square,RESTAURANT BRANDS INTL INC,1673501194
Pershing Square,META PLATFORMS INC,1522358404
Pershing Square,HOWARD HUGHES HOLDINGS INC,1192581569
Pershing Square,SEAPORT ENTMT GROUP INC,107910794
Pershing Square,ALPHABET INC,98731763
Pershing Square,HERTZ GLOBAL HLDGS INC,70261595
Scion Asset Mgmt,PALANTIR TECHNOLOGIES INC,912100000
Scion Asset Mgmt,NVIDIA CORPORATION,186580000
Scion Asset Mgmt,PFIZER INC,152880000
Scion Asset Mgmt,HALLIBURTON CO,61500000
Scion Asset Mgmt,MOLINA HEALTHCARE INC,23920000
Scion Asset Mgmt,LULULEMON ATHLETICA INC,17793000
Scion Asset Mgmt,SLM CORP,13287895
Scion Asset Mgmt,BRUKER CORP,13137181
Appaloosa,AMAZON COM INC,899726400
Appaloosa,MICRON TECHNOLOGY INC,562503600
Appaloosa,ALPHABET INC,497042322
Appaloosa,UBER TECHNOLOGIES INC,455512550
Appaloosa,TAIWAN SEMICONDUCTOR MANUFAC,448628625
Appaloosa,ALIBABA GROUP HLDG LTD,434718900
Appaloosa,VISTRA CORP,304017170
Appaloosa,ISHARES INC,295224000
Appaloosa,NVIDIA CORPORATION,256629600
Appaloosa,NRG ENERGY INC,253471354
Appaloosa,META PLATFORMS INC,249734745
Appaloosa,SANDISK CORP,178689375
Appaloosa,CORNING INC,153578115
Appaloosa,WHIRLPOOL CORP,105144000
Appaloosa,PDD HOLDINGS INC,91962000
