ticker,data_reliable,reason,action
A2A.MI,True,ok,ok
AMP.MI,True,ok,ok
AZM.MI,True,ok,ok
BMED.MI,True,ok,ok
BMPS.MI,True,ok,ok
BAMI.MI,True,ok,ok
BPE.MI,True,ok,ok
BC.MI,True,ok,ok
BZU.MI,True,ok,ok
CPR.MI,True,ok,ok
DIA.MI,True,ok,ok
ENEL.MI,True,ok,ok
ENI.MI,True,ok,ok
RACE.MI,True,ok,ok
FBK.MI,True,ok,ok
G.MI,True,ok,ok
HER.MI,True,ok,ok
IP.MI,True,ok,ok
ISP.MI,True,ok,ok
INW.MI,True,ok,ok
IVG.MI,True,ok,ok
LDO.MI,True,ok,ok
MB.MI,True,ok,ok
MONC.MI,True,ok,ok
NEXI.MI,True,ok,ok
PIRC.MI,True,ok,ok
PST.MI,True,ok,ok
PRY.MI,True,ok,ok
REC.MI,True,ok,ok
SPM.MI,True,ok,ok
SRG.MI,True,ok,ok
STLAM.MI,True,ok,ok
STMMI.MI,True,ok,ok
TIT.MI,False,split noto il 2026-06-15 (3g fa): indicatori a cavallo possibilmente distorti,verify
TEN.MI,True,ok,ok
TRN.MI,True,ok,ok
UCG.MI,True,ok,ok
UNI.MI,True,ok,ok
BPSO.MI,True,ok,ok
LTMC.MI,True,ok,ok
AC.PA,True,ok,ok
AI.PA,True,ok,ok
AIR.PA,True,ok,ok
MT.AS,True,ok,ok
CS.PA,True,ok,ok
BNP.PA,True,ok,ok
EN.PA,True,ok,ok
CAP.PA,True,ok,ok
CA.PA,True,ok,ok
ACA.PA,True,ok,ok
BN.PA,True,ok,ok
DSY.PA,True,ok,ok
EDEN.PA,True,ok,ok
ENGI.PA,True,ok,ok
EL.PA,True,ok,ok
ERF.PA,True,ok,ok
RMS.PA,True,ok,ok
KER.PA,True,ok,ok
LR.PA,True,ok,ok
OR.PA,True,ok,ok
MC.PA,True,ok,ok
ML.PA,True,ok,ok
ORA.PA,True,ok,ok
RI.PA,True,ok,ok
PUB.PA,True,ok,ok
RNO.PA,True,ok,ok
SAF.PA,True,ok,ok
SGO.PA,True,ok,ok
SAN.PA,True,ok,ok
SU.PA,True,ok,ok
GLE.PA,True,ok,ok
STLAP.PA,True,ok,ok
STMPA.PA,True,ok,ok
TEP.PA,True,ok,ok
HO.PA,True,ok,ok
TTE.PA,True,ok,ok
VIE.PA,True,ok,ok
DG.PA,True,ok,ok
VIV.PA,True,ok,ok
WLN.PA,True,ok,ok
AAPL,True,ok,ok
MSFT,True,ok,ok
NVDA,True,ok,ok
GOOGL,True,ok,ok
AMZN,True,ok,ok
META,True,ok,ok
AVGO,True,ok,ok
TSLA,True,ok,ok
LLY,True,ok,ok
JPM,True,ok,ok
V,True,ok,ok
UNH,True,ok,ok
XOM,True,ok,ok
COST,True,ok,ok
HD,True,ok,ok
PG,True,ok,ok
JNJ,True,ok,ok
ORCL,True,ok,ok
BAC,True,ok,ok
NFLX,True,ok,ok
AMD,True,ok,ok
CRM,True,ok,ok
KO,True,ok,ok
CVX,True,ok,ok
MRK,True,ok,ok
WMT,True,ok,ok
PLTR,True,ok,ok
GE,True,ok,ok
CAT,True,ok,ok
GS,True,ok,ok
^GSPC,True,ok,ok
^NDX,True,ok,ok
^VIX,True,ok,ok
FTSEMIB.MI,True,ok,ok
^FCHI,True,ok,ok
^STOXX50E,True,ok,ok
SPY,True,ok,ok
XLF,True,ok,ok
XLE,True,ok,ok
XLK,True,ok,ok
XLV,True,ok,ok
XLY,True,ok,ok
XLP,True,ok,ok
XLU,True,ok,ok
XLI,True,ok,ok
XLB,True,ok,ok
XLRE,True,ok,ok
XLC,True,ok,ok
